cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,vx_relative_tracking_success_threshold,vx_relative_tracking_success,planar_tracking_success,yaw_tracking_success,tracking_success,velocity_metric_valid,velocity_metric_reason,heading_metric_valid,heading_metric_reason,recording_manifest_valid,recording_manifest_reason,gait_metric_valid,gait_metric_reason,load_metric_valid,load_metric_reason,raw_load_metric_valid,raw_load_metric_reason,grf_load_metric_valid,grf_load_metric_reason,normalized_load_metric_valid,normalized_load_metric_reason,velocity_success_domain_valid,gait_success_domain_valid,joint_success_domain_valid,velocity_only_success,gait_only_success,joint_velocity_and_gait_success,gait_row_correct,gait_family_correct,gait_classification_available,success,success_failed_checks,relative_output_dir
gait_01_bound__vx_pos_1p0__seed_4242,1,bound,1.0,4242,valid,,True,0.04112026214762437,0.03172199268350017,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_pos_1p0/seed_4242
gait_01_bound__vx_pos_1p5__seed_4242,1,bound,1.5,4242,valid,,True,0.04700442343714566,0.04852067110747739,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_01_bound/vx_pos_1p5/seed_4242
gait_02_half_bound__vx_neg_1p5__seed_4242,2,half_bound,-1.5,4242,valid,,True,0.06546234455404988,0.0774403777294801,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_02_half_bound/vx_neg_1p5/seed_4242
gait_02_half_bound__vx_neg_1p0__seed_4242,2,half_bound,-1.0,4242,valid,,True,0.06664386533777655,0.08077940336394221,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_02_half_bound/vx_neg_1p0/seed_4242
gait_02_half_bound__vx_neg_0p5__seed_4242,2,half_bound,-0.5,4242,valid,,True,0.06770150807795063,0.09210354163927939,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_02_half_bound/vx_neg_0p5/seed_4242
gait_02_half_bound__vx_pos_0p5__seed_4242,2,half_bound,0.5,4242,valid,,True,0.059659991845580886,0.06903650934477842,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_02_half_bound/vx_pos_0p5/seed_4242
gait_02_half_bound__vx_pos_1p0__seed_4242,2,half_bound,1.0,4242,valid,,True,0.03990283389937733,0.05680426502979214,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_02_half_bound/vx_pos_1p0/seed_4242
gait_02_half_bound__vx_pos_1p5__seed_4242,2,half_bound,1.5,4242,valid,,True,0.03331528072036498,0.04943130078580955,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_02_half_bound/vx_pos_1p5/seed_4242
gait_03_half_bound__vx_neg_1p5__seed_4242,3,half_bound,-1.5,4242,valid,,True,0.07736371428212965,0.05949989792599721,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_03_half_bound/vx_neg_1p5/seed_4242
gait_03_half_bound__vx_neg_1p0__seed_4242,3,half_bound,-1.0,4242,valid,,True,0.08789817224798842,0.06689612052952146,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_03_half_bound/vx_neg_1p0/seed_4242
