robot,condition,mirror_coeff,value_coeff,warmup_iterations,reward_auc,reward_auc_change_vs_no_trs_percent,reward_auc_first_10000,reward_auc_first_10000_change_vs_no_trs_percent,final_reward_mean,final_reward_change_vs_no_trs,reward_35_iteration,reward_35_transition_change_vs_no_trs_percent,straight_reward_1p5_iteration,straight_reward_1p5_transition_change_vs_no_trs_percent,final_velocity_error_xy_mps,throughput_transitions_per_second,throughput_change_vs_no_trs_percent,learning_seconds_per_iteration,learning_time_change_vs_no_trs_percent,collection_seconds_per_iteration,collection_time_change_vs_no_trs_percent,full_run_wall_time_hours,full_run_wall_time_change_vs_no_trs_percent
x1,No TRS,0.0,0.0,,32.24299625406024,,26.061973482110513,,39.61168308639527,,9232,,7539,,0.11395595810562373,6835.862793139657,,0.14124917771805642,,1.69358523995097,,10.576909029152658,
x1,"0.10/0.05, w=10",0.1,0.05,10,32.04597003925553,-0.6110667050054253,27.003648727555888,3.6132154231979463,38.389611934661865,-1.2220711517334024,10292,11.481802426343158,5951,-21.063801565194318,0.118370679423213,7259.59572978649,6.198675272887044,0.16383153432917313,15.987602176483273,1.5334269416660682,-9.456760398404185,9.777606107725038,-7.557055839513572
x1,"0.10/0.05, w=100",0.1,0.05,100,30.63319091468916,-4.992728736146413,25.216021814815463,-3.245923290788899,38.6842138748169,-0.9274692115783694,13977,51.3973136915078,8273,9.736039262501661,0.11930402357131242,7204.8858942947145,5.398339790046736,0.16438349156780502,16.378370637970274,1.550165564294183,-8.468406093391511,9.880059584842789,-6.5884034966092075
x1,"0.10/0.05, w=500",0.1,0.05,500,31.88235771585072,-1.1185019387399686,25.925662588734035,-0.52302598446754,39.57540412902832,-0.036278957366945974,11189,21.198006932409008,8614,14.259185568377774,0.11435313525050879,10940.450822541126,60.04491537660406,0.13538879990321384,-4.1489641989564845,0.9889739196570767,-41.60471546825079,6.459352778461245,-38.92967443836738
x1,"0.20/0.10, w=10",0.2,0.1,10,29.351383020256375,-8.968190211043847,23.84632351950589,-8.501466568237792,36.846492889404296,-2.7651901969909716,15087,63.420710571923735,7974,5.769996020692392,0.1324128364622593,6144.029051452572,-10.12064991095778,0.20511874763230883,45.21765786257581,1.8162015095741322,7.240041229144856,11.607068887088033,9.739706138116455
x1,"0.20/0.10, w=100",0.2,0.1,100,31.747086495331132,-1.5380386947340785,26.730028055813555,2.563330724596158,37.54847959136963,-2.0632034950256397,9780,5.935875216637787,6954,-7.759649820931158,0.12497710952162742,7146.907545377268,4.550190102553997,0.16820171353959926,19.08155237217879,1.562120144996317,-7.762531926557125,9.959708519909118,-5.8353580194589805
x1,"0.20/0.10, w=500",0.2,0.1,500,30.29453807693701,-6.043043151977123,24.870537192586532,-4.571550540260539,37.69921323776245,-1.912469848632817,13612,47.44367417677644,10348,37.259583499137825,0.12463096593320369,6276.056952847643,-8.189249217433458,0.20906331870691663,48.01029080977883,1.773650878679455,4.727582458784463,11.407011222375763,7.848249341420366
x1,"0.30/0.15, w=10",0.3,0.15,10,28.291173879240286,-12.256374512099855,21.87869476912768,-16.05127376809866,36.68253394317627,-2.929149143219,14913,61.53596187175043,10355,37.352434009815624,0.13076419762521982,7519.800340017001,10.005138598798835,0.15725652299718182,11.332699798845702,1.4811856613033287,-12.541416495445512,9.415356025828256,-10.981970253529315
x1,"0.30/0.15, w=100",0.3,0.15,100,27.07969500702249,-16.01371412989434,21.13459569711176,-18.90638783889873,36.20910155105591,-3.4025815353393583,17762,92.39601386481802,14216,88.56612282796125,0.13317433539777995,7192.334066703335,5.214722476896783,0.16641773632260715,17.818552299673552,1.549971133185909,-8.479886537580994,9.877254660460684,-6.614922816898094
x1,"0.30/0.15, w=500",0.3,0.15,500,29.16419885063538,-9.548732317447561,23.44878767853906,-10.026814758925296,37.90390032196045,-1.7077827644348176,14984,62.3050259965338,10436,38.42684706194455,0.1258329467177391,6063.912645632282,-11.292651284371736,0.19766379857136016,39.939787094485894,1.848199450485086,9.129402340480496,11.736880316601859,10.967015829029304
