robot,condition,mirror_coeff,value_coeff,warmup_iterations,joint_index,joint_name,leg,pair,effort_limit_nm,torque_range_nm,mean_torque_nm,cycle_amplitude_nm,normalized_cycle_amplitude,cycle_count
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.06370949745178223,-1.0744022130966187,0.03185474872589111,0.001344082224721144,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,3.876818895339966,0.658431887626648,1.938409447669983,0.08178942817172924,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.5349674224853516,-3.975856304168701,1.2674837112426758,0.053480325368889275,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,13.07088041305542,-2.7663729190826416,6.53544020652771,0.27575697073956584,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,4.82829475402832,1.1160998344421387,2.41414737701416,0.10186275852380423,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.3792037963867188,-3.878603458404541,1.1896018981933594,0.05019417291955103,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,14.592580795288086,-2.123978614807129,7.296290397644043,0.3078603543309723,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,5.530470609664917,1.3826309442520142,2.7652353048324585,0.11667659514061007,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,16.111271381378174,-2.3750760555267334,8.055635690689087,0.3399002401134636,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,16.785655975341797,-2.640994071960449,8.392827987670898,0.35412776319286493,0.5
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.3402230739593506,-4.076964497566223,1.1701115369796753,0.049371794809269,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.020543456077575684,-1.1087493300437927,0.010271728038787842,0.0004334062463623562,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.9098548889160156,-0.7720396518707275,0.4549274444580078,0.019195250821012987,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,2.5454416275024414,-3.5494112968444824,1.2727208137512207,0.053701300158279355,1.0
go2,"0.20/0.10, w=500",0.2,0.1,500,1,FL_thigh_joint,front_left,front,23.7,0.0282440185546875,-1.0304673910140991,0.01412200927734375,0.000595865370352057,1.0
