robot,condition,mirror_coeff,value_coeff,warmup_iterations,leg_index,leg,pair,vertical_grf_impulse_ns_per_s,vertical_grf_impulse_ns_per_m,grf_impulse_ns_per_m,contact_duty_factor,vertical_force_contact_mean_n,vertical_force_p95_n,vertical_force_p99_n,vertical_force_peak_n,positive_vertical_loading_rate_p95_nps,positive_vertical_loading_rate_p99_nps,positive_vertical_loading_rate_peak_nps,vertical_grf_impulse_ns_per_m_change_vs_same_foot_percent,vertical_force_p99_n_change_vs_same_foot_percent,vertical_force_peak_n_change_vs_same_foot_percent,positive_vertical_loading_rate_p99_nps_change_vs_same_foot_percent,positive_vertical_loading_rate_peak_nps_change_vs_same_foot_percent
go2,"0.20/0.10, w=500",0.2,0.1,500,3,rear_right,hind,21.880843321151204,38.8067016282825,39.762856315022795,0.5466666666666666,40.02593290454489,62.25644702911377,67.33138977050781,68.11116790771484,1584.6059989929518,2708.3277053833544,2898.8042831421517,-26.247905778731393,-8.770708152470242,-11.028713190890382,-19.242625180803685,-19.87892706038349
go2,"0.30/0.15, w=10",0.3,0.15,10,0,front_left,front,45.76294645215594,107.11227782450553,113.58589839937864,0.9022222222222223,50.722477594754125,90.06197700500488,96.6610171508789,123.08917999267578,2246.629791259806,4151.687156677334,6154.45899963392,22.268719477085686,-16.9178859332192,-2.037660762893967,-18.107942436262327,-2.037660762893967
go2,"0.30/0.15, w=10",0.3,0.15,10,1,front_right,front,50.49677171635438,118.19222013988063,126.24384556360413,0.9777777777777777,51.6444256189988,93.22603874206543,101.19984603881835,146.95809936523438,2190.8448219299776,4076.6102294922684,7347.904968261875,46.23351776807223,-5.9486382436377045,33.21795486172323,-15.152160217275334,51.19476417434332
go2,"0.30/0.15, w=10",0.3,0.15,10,2,rear_left,hind,27.728707537520158,64.90152526735736,67.58824583551075,0.5688888888888889,48.741302706711394,93.16010169982908,127.59720962524403,287.0529479980469,2355.5596923828525,6385.948913574344,14352.64739990265,-0.6039283039738774,42.52432711309082,208.24869069734575,43.291506806268096,208.24869069734575
go2,"0.30/0.15, w=10",0.3,0.15,10,3,rear_right,hind,38.501492838101726,90.11619480936366,93.25128278900502,0.7133333333333334,53.97405538051644,81.39540786743163,93.32697814941406,176.7201385498047,1954.2564010620508,3694.546508789139,8836.006927490424,71.26573018508131,26.45148356302396,130.84346686234608,10.164614350095992,144.22150872670713
go2,"0.30/0.15, w=100",0.3,0.15,100,0,front_left,front,45.99617132782936,89.90674185625348,92.79438813025624,0.5288888888888889,86.966129832408,108.40578269958496,111.26079177856445,143.30889892578125,4443.2987213135675,5212.27230834972,7165.444946289215,2.628591440579431,-4.36908211633702,14.05450075383461,2.8121069350662165,14.05450075383461
go2,"0.30/0.15, w=100",0.3,0.15,100,1,front_right,front,67.56421398878098,132.06486910650148,134.57927607636645,0.7444444444444445,90.75558184189583,107.99378242492674,114.34548347473145,115.48663330078125,2784.3015289307205,4952.941055297957,5091.229248046983,63.39747540208294,6.268426805342653,4.68897712102172,3.0872036951006043,4.760092685040407
go2,"0.30/0.15, w=100",0.3,0.15,100,2,rear_left,hind,32.41181193510861,63.35397761639661,64.51545708790006,0.44666666666666666,72.56375806367599,96.49297294616699,103.54987594604492,104.24584197998047,2471.4137268066715,5171.992141723743,5200.410461425892,-2.9739828848833305,15.66378634140806,11.943265258470781,16.052063241915725,11.688085909097424
go2,"0.30/0.15, w=100",0.3,0.15,100,3,rear_right,hind,16.77950185694271,32.79817207342042,34.42646921390193,0.5266666666666666,31.859813652422858,58.36665439605713,61.05534797668457,61.83027648925781,1043.4277534485072,1593.2085266113604,1859.5853805542388,-37.6671096602203,-17.274302841477894,-19.233226620546596,-52.49343796433923,-48.60226446494303
go2,"0.30/0.15, w=500",0.3,0.15,500,0,front_left,front,44.903372628556355,81.58297834788922,83.46164386786899,0.5866666666666667,76.53736703842878,101.32577323913574,103.34798873901366,106.07917022705078,3176.8482589722344,5072.0564727784285,5303.958511352652,-6.872988827046534,-11.170297581448141,-15.57532790135241,0.04634861932129031,-15.57532790135241
go2,"0.30/0.15, w=500",0.3,0.15,500,1,front_right,front,56.26946473121643,102.23353512414631,104.65121611234952,0.6911111111111111,81.41883964323921,103.07586555480957,107.43647827148436,108.00709533691406,2716.1900329590335,5005.316390991316,5092.6441192628035,26.488608618878473,-0.15254489749896294,-2.0912463247145463,4.177308915199118,4.789205897682236
go2,"0.30/0.15, w=500",0.3,0.15,500,2,rear_left,hind,31.182646265792023,56.654389330082445,59.14690236404158,0.6688888888888889,46.6169856934753,87.64995231628416,96.57906044006347,99.04945373535156,2200.560607910198,4829.15676879893,4952.472686767684,-13.234338938106394,7.877481356075933,6.363180176840344,8.359330675818711,6.363180176840344
go2,"0.30/0.15, w=500",0.3,0.15,500,3,rear_right,hind,27.803393479179356,50.5147723974572,51.75156862310797,0.6533333333333333,42.55621450894799,64.28606033325191,69.0911078643799,71.54190826416016,1957.2447586059898,3166.8148117066094,3470.5660670996454,-3.9967300207758516,-6.386414049787803,-6.547254516823086,-5.571378890512213,-4.075801660386558
x1,No TRS,0.0,0.0,,0,front_left,front,53.58537618830725,95.784683660918,96.67641356911221,0.54,99.2321781264949,164.99773864746095,176.74702529907225,312.2294921875,3962.6367187500805,8044.77020263689,15611.474609375333,,,,,
x1,No TRS,0.0,0.0,,1,front_right,front,35.774028516535516,63.94662589829361,64.6123193337128,0.58,61.679359511268125,95.68425979614257,98.75695274353026,99.448486328125,1488.9385986328407,2868.0203857422475,3357.1660280228375,,,,,
x1,No TRS,0.0,0.0,,2,rear_left,hind,57.0650405498858,102.00463719728414,102.9615507785625,0.6355555555555555,89.78569855806711,131.8083442687988,143.48702392578122,201.27662658691406,2608.0289459229057,5555.505767822362,10063.831329345918,,,,,
x1,No TRS,0.0,0.0,,3,rear_right,hind,36.939285364151,66.02954042595019,66.43813070440632,0.47333333333333333,78.04074372707957,116.95467376708984,121.46092430114746,123.57432556152344,1427.0237731933894,2463.7417678833513,3245.306396484444,,,,,
x1,"0.10/0.05, w=10",0.1,0.05,10,0,front_left,front,57.54584699527757,106.87147925324119,108.09676251307727,0.4533333333333333,126.93766863635392,187.21157836914054,440.38462738036833,908.724609375,4258.981704711999,22171.428588867384,45436.23046875097,11.574706068426277,149.1609839742406,191.04380979785626,175.60052096454046,191.04380979785626
x1,"0.10/0.05, w=10",0.1,0.05,10,1,front_right,front,42.45119705510249,78.83839516206874,80.15546636905087,0.5577777777777778,76.1077238039673,99.46398696899413,106.8359614562988,112.60658264160156,2313.5333633423234,4425.0288696289945,5009.720611572372,23.28781081813498,8.180698663059772,13.23106745945044,54.288612857394014,49.224690401230674
x1,"0.10/0.05, w=10",0.1,0.05,10,2,rear_left,hind,41.53286701788582,77.13291519010684,78.21075246206834,0.52,79.87089811131888,109.6530765533447,210.19335075378265,339.389404296875,1623.0924224853761,10594.062133789135,16969.47021484411,-24.382932669103695,46.48944901282874,68.61838855905205,90.69482737557806,68.61838855905202
x1,"0.10/0.05, w=10",0.1,0.05,10,3,rear_right,hind,46.409121602377816,86.18886914457421,86.82695679216434,0.5066666666666667,91.59695053100884,123.87205047607418,132.20073898315428,135.7220458984375,1886.0546875000384,4610.747680664158,6090.377426147591,30.530772421825358,8.842197392948181,9.830294668180194,87.1441131034338,87.66725486213376
x1,"0.10/0.05, w=100",0.1,0.05,100,0,front_left,front,56.23012361407504,98.82175890980488,99.56938492907652,0.4866666666666667,115.53795739617574,192.40166931152336,456.92710418701154,597.918701171875,1481.2152099609523,22857.794494629372,29895.935058594387,3.170731616798217,158.52039286876186,91.49975134725996,184.13234833155477,91.49975134725996
x1,"0.10/0.05, w=100",0.1,0.05,100,1,front_right,front,49.57174885401092,87.11998301142354,88.10854083219573,0.5933333333333334,83.54789132698468,114.39881439208983,121.28031478881836,123.4239730834961,1502.8717041015939,5852.70857238782,6164.572906494272,36.238592400460504,22.806862119147,24.108448142956384,104.06788604025667,83.62430856971417
x1,"0.10/0.05, w=100",0.1,0.05,100,2,rear_left,hind,48.05579189801048,84.45576100380879,85.403921729413,0.5666666666666667,84.80433864354791,128.76688613891596,151.75971954345698,351.6795349121094,2151.380882263212,7558.20280773092,17583.976745605843,-17.20399844130085,5.765466027056787,74.72447788677998,36.04886978082593,74.72447788677998
