robot,condition,mirror_coeff,value_coeff,warmup_iterations,joint_index,joint_name,leg,pair,effort_limit_nm,torque_rms_nm,torque_abs_p95_nm,torque_abs_p99_nm,torque_abs_peak_nm,normalized_torque_rms,normalized_torque_abs_p95,normalized_torque_abs_p99,normalized_torque_abs_peak,torque_squared_exposure_n2m2s_per_s,torque_squared_exposure_n2m2s_per_m,normalized_torque_capacity_exposure_s_per_s,normalized_torque_capacity_exposure_s_per_m,absolute_work_j_per_s,absolute_work_j_per_m,positive_work_j_per_m,negative_work_j_per_m,absolute_power_p99_w,absolute_power_peak_w,rainflow_equivalent_cycle_count,rainflow_cycle_count_per_s,rainflow_cycle_count_per_m,rainflow_range_max_nm,rainflow_normalized_amplitude_max,torque_cycle_moment_m3_per_s,torque_cycle_moment_m3_per_m,torque_cycle_moment_m5_per_s,torque_cycle_moment_m5_per_m,fatigue_proxy_m3_per_s,fatigue_proxy_m3_per_m,fatigue_proxy_m5_per_s,fatigue_proxy_m5_per_m,cycle_average_equivalent_amplitude_m3_nm,cycle_average_equivalent_amplitude_m5_nm,dwell_fraction_at_or_above_0p50,dwell_time_s_at_or_above_0p50,longest_dwell_s_at_or_above_0p50,dwell_fraction_at_or_above_0p75,dwell_time_s_at_or_above_0p75,longest_dwell_s_at_or_above_0p75,dwell_fraction_at_or_above_0p90,dwell_time_s_at_or_above_0p90,longest_dwell_s_at_or_above_0p90,dwell_fraction_at_or_above_0p99,dwell_time_s_at_or_above_0p99,longest_dwell_s_at_or_above_0p99,normalized_torque_rms_change_vs_same_joint_percent,normalized_torque_abs_p99_change_vs_same_joint_percent,normalized_torque_abs_peak_change_vs_same_joint_percent,torque_squared_exposure_per_m_change_vs_same_joint_percent,fatigue_proxy_m3_per_m_change_vs_same_joint_percent,fatigue_proxy_m5_per_m_change_vs_same_joint_percent,absolute_work_per_m_change_vs_same_joint_percent,dwell_fraction_at_or_above_0p50_change_pp,dwell_fraction_at_or_above_0p75_change_pp,dwell_fraction_at_or_above_0p90_change_pp,dwell_fraction_at_or_above_0p99_change_pp
x1,"0.10/0.05, w=10",0.1,0.05,10,1,joint_front_left_thigh_pitch,front_left,front,17.0,7.295099001883845,17.0,17.0,17.0,0.42912347069904966,1.0,1.0,1.0,53.218469447286665,98.83487428539695,0.18414695310479812,0.34198918437853615,9.684264246175687,17.985166602083446,13.037791075801552,4.9473755262818955,27.912386398315427,67.98233795166016,47.5,5.2777777777778905,9.801644214695367,22.76589298248291,0.6695850877200856,3010.6758396784417,5591.287596563372,372070.49986398325,690992.0834116826,0.6127978505349972,1.1380597591213863,0.2620478681050157,0.4866631522834219,8.293495864026665,9.324699123861434,0.18444444444444444,1.6599999999999646,0.09999999999999787,0.14444444444444443,1.2999999999999723,0.09999999999999787,0.10888888888888888,0.9799999999999791,0.0799999999999983,0.08222222222222222,0.7399999999999842,0.0799999999999983,27.943910634321423,38.68944268604546,32.85445745842716,70.07375110024677,61.550004426879504,116.2572379935976,75.11064101023834,2.4444444444444438,14.222222222222221,10.888888888888888,8.222222222222223
x1,"0.10/0.05, w=10",0.1,0.05,10,2,joint_front_left_calf_pitch,front_left,front,37.0,6.734366790173204,12.885018205642698,14.958230657577506,22.92491340637207,0.18200991324792443,0.3482437352876404,0.40427650425885153,0.6195922542262722,45.351696064587735,84.22506745732034,0.03312760852051697,0.06152305877086949,17.50602085647859,32.511370367413164,6.343489699426243,26.167880667986918,108.61960731506343,352.2518615722656,72.5,8.055555555555728,14.96040432769293,25.612546920776367,0.34611549892941035,1611.9582973817048,2993.6542206052886,154753.27969594707,287400.61679435644,0.03182355037967553,0.05910122244694862,0.002231676506374551,0.004144566148631473,5.8490603399877585,7.1896686070845846,0.008888888888888889,0.0799999999999983,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8713643948718337,30.363974588481057,98.70146681166267,9.94792781843923,205.53332033316894,639.5989600862964,6.113841865239178,0.8888888888888888,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,3,joint_front_right_abad,front_right,front,17.0,2.4740915045128644,4.469862008094786,5.269084863662719,5.694855213165283,0.14553479438310968,0.2629330592996933,0.3099461684507482,0.3349914831273696,6.12112877270273,11.36787658529036,0.021180376376134014,0.03933521309789052,1.9278937281005912,3.5803948559843826,1.6873484212086174,1.8930464347757654,7.151647634506226,9.921629905700684,60.5,6.722222222222365,12.4841994734541,11.243766784667969,0.33069902307846966,207.09220707328436,384.6020463224165,3775.504251637638,7011.691466328195,0.04215188419973221,0.07828252520301578,0.002659073590958553,0.004938308200282278,3.134851434749558,3.547255082949184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.428424546466156,24.16134623588979,29.581186029812724,33.672431758216945,61.485964658506816,91.38033758412216,78.25685128510797,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,4,joint_front_right_thigh_pitch,front_right,front,17.0,4.747701754528112,8.7568199634552,9.202192096710204,9.733268737792969,0.2792765737957713,0.5151070566738353,0.5413054174535414,0.5725452198701746,22.540671949949314,41.86149097520124,0.0779954046711049,0.14484944974118077,6.466619442177261,12.009505839925637,10.315282457367058,1.6942233825585797,15.5875785446167,16.40266990661621,57.5,6.388888888889025,11.865148259894392,16.886363983154297,0.4966577642104205,776.9466192048976,1442.9092424696805,39975.63426899159,74240.89472111323,0.15814097683796005,0.29369209087516396,0.02815469041529646,0.052287585806960295,4.954372031604714,5.7447879872689676,0.08666666666666667,0.7799999999999834,0.09999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.817253422785996,15.23486174519264,16.61547398496921,103.10451687516169,28.79160626455992,54.271552971504235,31.486987008031477,8.666666666666668,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,5,joint_front_right_calf_pitch,front_right,front,37.0,4.300080398173674,8.2043915271759,10.714874448776243,12.58118724822998,0.11621838913982901,0.2217403115452946,0.28959120131827687,0.3400320877899995,18.49069143075746,34.34005490930473,0.013506713974256727,0.025084043030901924,11.792724843455686,21.900901876550392,14.383652893237079,7.517248983313312,30.272298107147215,37.46403121948242,78.5,8.722222222222408,16.198506754812342,15.358701467514038,0.20755001983127078,526.2686075941124,977.3616605685172,20426.641174336757,37935.41102376476,0.010389682893295803,0.019295237410785485,0.0002945698811842646,0.0005470615272757618,3.9221732417632005,4.719695307698788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.446580694057987,36.93142301739161,58.19062619348967,-1.125786643580362,164.63384654360286,439.6104702101566,10.33390536474288,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,6,joint_rear_left_abad,rear_left,hind,17.0,1.6332458067829694,2.417354679107665,2.6575000047683712,2.751150131225586,0.09607328275193938,0.14219733406515678,0.15632352969225716,0.16183236066032858,2.667491865374153,4.953942229261445,0.009230075658734092,0.017141668613361402,0.6941049263171024,1.289059490923093,0.5229347443143032,0.7661247466087898,2.3091666030883786,3.5632245540618896,73.5,8.16666666666684,15.166754732212832,5.481494426727295,0.16122042431550868,29.331601924406794,54.47329130086166,152.80204846075623,283.776880602115,0.005970201897904904,0.011087582190283262,0.00010761791395947353,0.00019986300071212453,1.5314294137753153,1.7964571777205767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.64962336853433,-32.10177049645152,-32.71800225323639,-11.391498792461785,-11.985573650988323,-5.904412755028798,-0.014376492086898285,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,7,joint_rear_left_thigh_pitch,rear_left,hind,20.0,5.156188068727204,8.636295175552368,9.606169338226318,10.75320816040039,0.2578094034363602,0.4318147587776184,0.4803084669113159,0.5376604080200196,26.586275400084773,49.37479815136417,0.06646568850021194,0.12343699537841044,6.49105676388368,12.05488970090116,2.198411546003569,9.85647815489759,16.166830062866186,20.608503341674805,80.5,8.944444444444635,16.611207563852147,14.975664138793945,0.3743916034698486,630.0159210049426,1170.0363613801144,25636.585787040927,47611.07862898469,0.07875199012561782,0.1462545451725143,0.00801143305845029,0.014878462071557715,4.129835164658369,4.9142965835456005,0.0022222222222222222,0.019999999999999574,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.137778165702089,-8.364988769715186,1.7703742140036782,-6.505807843593803,-21.758332164124106,-39.38698563415291,45.93735096430691,-6.444444444444445,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,8,joint_rear_left_calf_pitch,rear_left,hind,37.0,3.0643916409618646,6.548561406135558,8.539303131103514,10.594799041748047,0.08282139570167202,0.17698814611177188,0.23079197651631123,0.2863459200472445,9.390496129196949,17.439594074120947,0.006859383585972935,0.012738929199503979,5.3105444174288685,9.862496898816001,0.8486970915730178,9.013799807242982,30.386420612335165,109.41449737548828,60.5,6.722222222222365,12.4841994734541,12.40485167503357,0.16763313074369687,230.12000607107933,427.3682070679976,5872.032302606933,10905.26616897164,0.00454306765781058,0.008437174640554311,8.467979845175164e-05,0.00015726339598664147,3.2469866562802543,3.8748519543279927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.89568999390507,-32.42292027873857,-18.78742697178466,-69.5868240568073,-70.9887101023088,-85.77213465112553,-29.409021386905977,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,9,joint_rear_right_abad,rear_right,hind,17.0,2.319698648886694,5.491679739952084,8.041797647476194,8.462565422058105,0.13645286169921728,0.3230399847030637,0.47304692043977614,0.49779796600341797,5.381001821646753,9.993347123572041,0.01861938346590572,0.03457905579090672,0.688240262051889,1.2781679083315916,0.7733011239495077,0.5048667843820839,4.3709093666076635,7.225365161895752,71.0,7.888888888889057,14.650878720913076,11.72887659072876,0.34496695855084586,260.28902288047834,483.3967064712814,6292.807031063315,11686.709487830163,0.05297965049470352,0.098391350798144,0.004432000568411688,0.00823090599111753,3.207352338493702,3.8050968481641734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.91780243171997,65.52289725351457,68.40470451414504,56.9739631331841,163.19053882862198,388.80184120007584,6.551200326768281,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,10,joint_rear_right_thigh_pitch,rear_right,hind,20.0,2.681550735785992,4.968124914169306,5.675447034835814,6.599861145019531,0.1340775367892996,0.2484062457084653,0.2837723517417907,0.32999305725097655,7.190714348594395,13.354261331575398,0.017976785871485986,0.033385653328938496,3.5571319717499947,6.606140591711466,3.807500868290597,2.798639723420869,11.455061569213857,13.009682655334473,58.0,6.444444444444581,11.968323462154343,11.7020902633667,0.2925522565841675,236.9116940459247,439.981415116838,5420.877638348364,10067.40264173449,0.029613961755740586,0.054997676889604746,0.0016940242619838638,0.0031460633255420284,3.325066519736337,3.8457125900648945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.703994803639027,4.08451014941178,14.267240254818958,51.37053158428473,68.08227807737015,132.95236870716784,80.1806238604155,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=10",0.1,0.05,10,11,joint_rear_right_calf_pitch,rear_right,hind,37.0,7.97128166977315,13.582281351089478,14.25896517753601,15.417757987976074,0.21544004512900405,0.3670886851645805,0.38537743723070295,0.4166961618371912,63.541331458861414,118.0060150524208,0.04641441304518731,0.08619869616685231,21.10205839580261,39.189764575587425,25.854234087430267,13.33553048815716,78.59310401916503,86.62837982177734,84.0,9.333333333333533,17.333433979671806,18.32362985610962,0.247616619677157,1075.9622431670432,1998.227197130907,66356.56034907773,123234.32763523096,0.021241826607842445,0.0394493356194284,0.0009569191494087615,0.0017771458821600125,4.866911155431864,5.893447483060894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.96900810284074,31.19222155560635,40.29693671790362,92.07812491950614,163.71085047533734,388.83613244571256,61.014122235521185,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=100",0.1,0.05,100,0,joint_front_left_abad,front_left,front,17.0,2.3344907858861963,4.091475057601928,4.233375668525696,4.52651834487915,0.13732298740507037,0.24067500338834869,0.24902209814857035,0.2662657849928912,5.44984722938755,9.577846435020035,0.018857602869853114,0.03314133714539805,1.1120907328140877,1.954446393151323,1.2489961782189198,0.7054502149324033,4.271150670051574,4.983025550842285,114.0,12.666666666666936,22.261062204225645,5.307733118534088,0.15610979760394378,28.894814628899063,50.78125782895875,160.69690149550865,282.4171358066655,0.005881297502320183,0.010336099700581872,0.00011317822956502565,0.00019890533751403517,1.316393887133016,1.6621454772495803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.18117361027589,9.648678850393422,9.049786490817024,98.75494626430883,-39.33202985990296,-39.66517644758796,96.84724738280927,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=100",0.1,0.05,100,1,joint_front_left_thigh_pitch,front_left,front,17.0,7.548783325014746,16.95416622161865,17.0,17.0,0.44404607794204387,0.9973038953893325,1.0,1.0,56.98412968802068,100.14688860305232,0.19717691933571171,0.3465290263081395,6.402159610625563,11.251490000014236,8.521031424304221,2.730458575710015,20.539008007049546,27.25619888305664,40.5,4.500000000000096,7.908535256764374,24.068089962005615,0.7078849988825181,3457.8736829557943,6077.04798557622,468419.55128284777,823225.0080617934,0.7038212259222053,1.236932217703281,0.3299061463815355,0.5797943089070191,9.159368604063026,10.080556311221082,0.2644444444444444,2.3799999999999493,0.13999999999999702,0.14,1.2599999999999731,0.0799999999999983,0.07555555555555556,0.6799999999999855,0.03999999999999915,0.05333333333333334,0.47999999999998977,0.03999999999999915,32.39311198986257,38.68944268604546,32.85445745842716,72.33144807324578,75.58516030826577,157.64168760329193,9.54892272137975,10.444444444444443,13.77777777777778,7.555555555555555,5.333333333333334
x1,"0.10/0.05, w=100",0.1,0.05,100,2,joint_front_left_calf_pitch,front_left,front,37.0,4.857421358335238,9.090371417999265,12.614999742507933,19.931106567382812,0.13128165833338482,0.24568571399998013,0.34094593898670095,0.5386785558752112,23.59454225241135,41.46628206009064,0.017234873814763588,0.03028946826887556,11.696997855048005,20.55691554109832,2.9992528911348377,17.557662649963483,86.23359130859374,107.40828704833984,78.5,8.722222222222408,15.328889324839588,21.452447533607483,0.28989793964334437,652.9635435622401,1147.5522679208148,37641.41008261574,66152.98194504138,0.012890915514623815,0.022655168853193585,0.0005428217787256607,0.0009539833722647436,4.214576381122599,5.333444097182987,0.0022222222222222222,0.019999999999999574,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.800067305231256,9.942248084863659,72.75267478296061,-45.86965704536654,17.119556514049794,70.23859307918119,-32.90429593359677,0.2222222222222222,0.0,0.0,0.0
x1,"0.10/0.05, w=100",0.1,0.05,100,3,joint_front_right_abad,front_right,front,17.0,2.3670949331807103,4.6057076215744,5.016346473693847,6.009029865264893,0.13924087842239471,0.2709239777396706,0.29507920433493223,0.3534723450155819,5.603138422689792,9.847248392082754,0.019388022223840107,0.03407352384803721,1.3527643404769252,2.3774187735011423,0.8020342130612863,1.5753845604398558,6.41824471950531,7.525818347930908,68.0,7.555555555555717,13.278528332345122,11.099293231964111,0.32644980094012094,222.59815531147245,391.2056354158787,4774.364690411404,8390.718107281935,0.04530799008985802,0.07962663045305897,0.0033625672799524205,0.005909551530387874,3.0885292538909463,3.6318661729988975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.523006741206185,18.20578857151527,36.72994091746216,15.791689751465787,64.2586668975172,129.0201261216847,18.364370913470406,0.0,0.0,0.0,0.0
x1,"0.10/0.05, w=100",0.1,0.05,100,4,joint_front_right_thigh_pitch,front_right,front,17.0,5.401220012858038,9.659027338027954,10.112067689895628,10.610618591308594,0.3177188242857669,0.5681780787075267,0.5948275111703312,0.6241540347828585,29.173177627298184,51.27046751496275,0.10094525130553005,0.1774064619894905,6.410299602609334,11.265795647479443,9.296952685545184,1.96884296193426,15.918063688278199,17.134464263916016,60.5,6.722222222222365,11.813984766277645,19.255474090576172,0.5663374732522404,1550.3943166576298,2724.7440255941583,122544.88117079476,215366.78072782452,0.3155697774593181,0.5545988246680558,0.0863079036626891,0.15168202201195227,6.132578284419745,7.114697865609376,0.11777777777777777,1.0599999999999774,0.05999999999999872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.06301330106518,26.628819520050605,27.127109055837238,148.75519939695891,143.20598232179432,347.5291932588487,23.344419469006183,11.777777777777777,0.0,0.0,0.0
x1,"0.10/0.05, w=100",0.1,0.05,100,5,joint_front_right_calf_pitch,front_right,front,37.0,4.711013661982793,7.799205732345579,8.96168601989746,9.357743263244629,0.12732469356710255,0.21078934411744804,0.24220773026749895,0.25291198008769267,22.193649723388532,39.004280291931856,0.016211577591956558,0.028491073989723777,11.525915561450851,20.25624657427139,13.760542289863864,6.495704284407528,31.150556755065914,32.74259567260742,65.0,7.222222222222376,12.69271090591813,12.216763257980347,0.1650913953781128,444.02999863154383,780.3615331641168,14063.180881634795,24715.36929436913,0.008766114517038355,0.015406027938406744,0.00020280326491369386,0.00035641706016818645,3.9468184974757055,4.548650232217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8760229038088205,14.526439409635472,17.660379530464287,12.303767177527348,111.29340606194806,251.56260829749272,2.048345094114601,0.0,0.0,0.0,0.0
