robot,condition,mirror_coeff,value_coeff,warmup_iterations,metric,sample_mean_unit,integral_unit,front_sample_mean,hind_sample_mean,front_integral,hind_integral,front_integral_per_s,hind_integral_per_s,front_integral_per_directed_m,hind_integral_per_directed_m,total_integral_per_directed_m,worst_pair_integral_per_directed_m,front_share_percent,signed_imbalance_percent,abs_imbalance_percent,dominant_pair,dominant_to_other_ratio,concentration_factor,bootstrap_ci_low_percent,bootstrap_ci_high_percent,abs_imbalance_change_vs_no_trs_pp,total_exposure_change_vs_no_trs_percent,total_per_directed_m_change_vs_no_trs_percent,worst_pair_per_directed_m_change_vs_no_trs_percent
go2,"0.10/0.05, w=10",0.1,0.05,10,absolute_work,W,J,51.26627932653796,144.50345309306752,461.39651393883184,1300.53107783758,51.26627932653796,144.50345309306752,90.6316336622834,255.46195658646928,346.09359024875266,255.46195658646928,26.187030391733767,-47.625939216532466,47.625939216532466,hind,2.818684230479456,1.4762593921653246,-52.2250257515326,-42.494576039790324,43.788509694513124,81.73994827894808,80.54271823345928,156.6780444258621
go2,"0.10/0.05, w=10",0.1,0.05,10,positive_work,W,J,23.377315552618207,124.85201433726068,210.39583997355936,1123.6681290353222,23.377315552618207,124.85201433726068,41.32783433877435,220.72095291602878,262.04878725480313,220.72095291602878,15.771045831473065,-68.45790833705387,68.45790833705387,hind,5.340733586636193,1.6845790833705387,-73.31583497368895,-62.85334187809444,67.38162709281536,163.61731018785957,161.88070485008637,336.4612076128748
go2,"0.10/0.05, w=10",0.1,0.05,10,negative_work,W,J,27.88896377391976,19.651438755806836,251.00067396527248,176.86294880225776,27.88896377391976,19.651438755806836,49.30379932350905,34.741003670440506,84.04480299394956,49.30379932350905,58.663709791857634,17.327419583715283,17.327419583715283,front,1.4191817769922217,1.1732741958371529,13.901749130953577,20.86423900783681,8.124111527906786,-7.6719034904442545,-8.280124039810588,-1.4566814638261039
go2,"0.10/0.05, w=10",0.1,0.05,10,grf_impulse,N,N s,103.41268652289399,62.59370680091746,930.7141787060261,563.3433612082451,103.41268652289399,62.59370680091746,182.81921067994944,110.65694602511398,293.47615670506343,182.81921067994944,62.294399903729975,24.58879980745994,24.58879980745994,front,1.6521259373854216,1.2458879980745994,22.147597270224175,26.79981356477226,7.136393145400156,1.0063583967085954,0.3409689311391295,6.437673317480996
go2,"0.10/0.05, w=10",0.1,0.05,10,vertical_grf_impulse,N,N s,101.2024443116453,60.560998604809214,910.8219988047882,545.0489874432712,101.2024443116453,60.56099860480921,178.91181063012542,107.06340136004135,285.97521199016677,178.91181063012542,62.56199947717052,25.123998954341033,25.123998954341033,front,1.6710828196879948,1.2512399895434103,22.6303369751059,27.3889608146002,7.482619367292241,0.534212432441028,-0.12806672447240874,6.224321056082438
go2,"0.10/0.05, w=10",0.1,0.05,10,contact_time,feet,foot s,1.191111111111111,1.191111111111111,10.719999999999771,10.719999999999771,1.191111111111111,1.191111111111111,2.1057183648085824,2.1057183648085824,4.211436729617165,2.1057183648085824,50.0,0.0,0.0,front,1.0,1.0,-1.9534883720930232,2.1435228331780056,-0.2806361085126286,0.280636108512633,-0.3799725890620276,-0.6587599792045817
go2,"0.10/0.05, w=100",0.1,0.05,100,torque_squared,N^2 m^2,N^2 m^2 s,282.93025745759144,186.04687600043417,2546.3723171182687,1674.421884003872,282.93025745759144,186.0468760004342,527.3533946454236,346.77256686380133,874.1259615092248,527.3533946454236,60.32922231653205,20.65844463306408,20.65844463306408,front,1.520747155447701,1.2065844463306408,15.36836005876167,25.509062514923528,19.727467874911348,-6.600842433611998,-2.175670900498683,16.944587038937996
go2,"0.10/0.05, w=100",0.1,0.05,100,normalized_torque_utilization,1,s,0.3249254359994135,0.18046789382728012,2.9243289239946586,1.6242110444454865,0.3249254359994134,0.18046789382728012,0.6056281615854352,0.33637390814798657,0.9420020697334217,0.6056281615854352,64.29159563914999,28.58319127829998,28.58319127829998,front,1.8004611740545322,1.2858319127829998,24.340414233207582,32.43294527465465,21.50867797889293,-6.997386623198542,-2.5910030117871186,16.976106694403104
go2,"0.10/0.05, w=100",0.1,0.05,100,absolute_work,W,J,47.31249974790937,55.01726614038001,425.81249773117526,495.1553952634095,47.31249974790937,55.01726614038001,88.18571606806876,102.54662164434276,190.73233771241152,102.54662164434276,46.23532491959293,-7.5293501608141264,7.5293501608141264,hind,1.162848431884242,1.0752935016081413,-9.347481958837593,-5.460913239767991,3.6919206387947847,-5.0036686975001965,-0.5028244502571444,3.0347792597421153
go2,"0.10/0.05, w=100",0.1,0.05,100,positive_work,W,J,22.623774161682515,26.635226418688738,203.6139674551383,239.71703776819353,22.623774161682515,26.635226418688738,42.1684276933265,49.64536912829255,91.81379682161905,49.64536912829255,45.928203770130175,-8.143592459739649,8.143592459739649,hind,1.177311364069411,1.0814359245973966,-12.104020538163477,-3.9857026093797203,7.067311215501144,-12.395709774936137,-8.245094058654134,-1.8295387191219925
go2,"0.10/0.05, w=100",0.1,0.05,100,negative_work,W,J,24.688725586226855,28.38203972169127,222.19853027603696,255.43835749521597,24.688725586226855,28.382039721691267,46.01728837474226,52.90125251605021,98.91854089079247,52.90125251605021,46.5203873412832,-6.959225317433613,6.959225317433613,hind,1.1495951713896813,1.0695922531743363,-10.681565282940317,-2.9189985660296256,-2.2440827383748845,3.0686001895244397,7.95190157468233,5.733534721045541
go2,"0.10/0.05, w=100",0.1,0.05,100,grf_impulse,N,N s,109.56756141860184,57.08569843392326,986.1080527673955,513.7712859052984,109.56756141860184,57.08569843392326,204.22285681403804,106.40197031364427,310.6248271276823,204.22285681403804,65.74582550353976,31.491651007079525,31.491651007079525,front,1.9193522094754847,1.3149165100707951,27.04620177244611,35.711228048975414,14.039244345019743,1.3999434335609795,6.204185300759302,18.898914598143325
go2,"0.10/0.05, w=100",0.1,0.05,100,vertical_grf_impulse,N,N s,107.83454821621444,56.09984829422948,970.5109339459093,504.8986346480546,107.83454821621444,56.09984829422949,200.99269541858774,104.56444532621126,305.557140744799,200.99269541858774,65.77908633673746,31.55817267347493,31.55817267347493,front,1.9221896581725064,1.3155817267347494,27.02655707811415,35.79254662741486,13.91679308642614,1.8834363724373304,6.71058571808969,19.334282811603607
go2,"0.10/0.05, w=100",0.1,0.05,100,contact_time,feet,foot s,1.3044444444444445,0.8866666666666667,11.73999999999975,7.97999999999983,1.3044444444444445,0.8866666666666667,2.431352560470672,1.652657021512433,4.084009581983105,2.431352560470672,59.53346855983773,19.066937119675455,19.066937119675455,front,1.4711779448621554,1.1906693711967544,15.206445115810675,23.139653414882773,18.786301011162827,-7.76426566884939,-3.39421612522377,14.70364808583926
go2,"0.10/0.05, w=500",0.1,0.05,500,torque_squared,N^2 m^2,N^2 m^2 s,308.03487442933,240.1671450051197,2772.3138698639104,2161.5043050460313,308.03487442932993,240.1671450051197,543.9761531124075,424.12470304185535,968.1008561542629,543.9761531124075,56.19002913325873,12.380058266517464,12.380058266517464,front,1.2825854028566792,1.1238005826651747,9.998164373110308,14.438468713193153,11.449081508364733,9.177192529266275,8.341155536019595,20.630808923745427
go2,"0.10/0.05, w=500",0.1,0.05,500,normalized_torque_utilization,1,s,0.35456022754924,0.2653237649337342,3.191042047943092,2.3879138844035572,0.35456022754924,0.2653237649337342,0.6261378974903851,0.46855019661439634,1.0946880941047814,0.6261378974903851,57.19783569971415,14.395671399428295,14.395671399428295,front,1.336330455124489,1.143956713994283,12.35539283747799,16.053194135646887,7.3211581000212425,14.071215208027056,13.197701669446648,20.937529243200803
go2,"0.10/0.05, w=500",0.1,0.05,500,absolute_work,W,J,54.901846216925314,152.4534418830917,494.1166159523173,1372.0809769477962,54.901846216925314,152.45344188309173,96.95426584142757,269.2261290152601,366.18039485668766,269.2261290152601,26.47718643685789,-47.04562712628422,47.04562712628422,hind,2.776836343184628,1.4704562712628422,-48.76885697171086,-44.894907181257025,43.208197604264875,92.49522829142671,91.0211737920682,170.50773910670807
go2,"0.10/0.05, w=500",0.1,0.05,500,positive_work,W,J,26.094398050141105,131.53637967251242,234.84958245126495,1183.8274170525865,26.094398050141105,131.53637967251242,46.081568833389525,232.28750946186176,278.3690782952513,232.28750946186176,16.554126311584525,-66.89174737683095,66.89174737683095,hind,5.04078995881651,1.6689174737683095,-69.70848957305205,-63.75296142488015,65.81546613259245,180.3372426829248,178.190527787276,359.33331454799423
go2,"0.10/0.05, w=500",0.1,0.05,500,negative_work,W,J,28.80744816678421,20.9170622105793,259.26703350105237,188.2535598952097,28.807448166784212,20.9170622105793,50.87269700803805,36.938619553398304,87.81131656143636,50.87269700803805,57.93410120715529,15.868202414310579,15.868202414310579,front,1.3772224740152161,1.1586820241431057,9.19328181557694,22.72433384623979,6.664894358502082,-3.430153117846846,-4.169647902016205,1.6790684458870109
go2,"0.10/0.05, w=500",0.1,0.05,500,grf_impulse,N,N s,102.76581763744659,63.43902201459728,924.8923587369995,570.9511981313633,102.76581763744659,63.43902201459728,181.47995175362715,112.03054594596288,293.51049769959,181.47995175362715,61.83082144454441,23.661642889088817,23.661642889088817,front,1.6199149100028725,1.236616428890888,19.139019225165747,27.797342213498144,6.209236227029034,1.1271027882384654,0.35271028929082515,5.65795436148484
go2,"0.10/0.05, w=500",0.1,0.05,500,vertical_grf_impulse,N,N s,101.06286121050516,60.322818609713,909.5657508945271,542.9053674874054,101.06286121050516,60.322818609713,178.4726049791366,106.52746664805815,285.00007162719476,178.4726049791366,62.621950920978904,25.243901841957797,25.243901841957797,front,1.675367025940534,1.2524390184195782,20.553831133679658,29.614896267576146,7.602522254909005,0.29943679536601486,-0.46861775540709694,5.9635539109959
go2,"0.10/0.05, w=500",0.1,0.05,500,contact_time,feet,foot s,1.3066666666666666,1.2644444444444445,11.75999999999975,11.379999999999757,1.3066666666666666,1.2644444444444445,2.3075163422660383,2.2329537393696866,4.540470081635725,2.3075163422660383,50.821089023336214,1.6421780466724287,1.6421780466724287,front,1.0333919156414764,1.0164217804667244,-1.7123287671232876,5.336832895888014,1.3615419381598002,8.231992516370434,7.403193501665739,8.861440656047282
go2,"0.20/0.10, w=10",0.2,0.1,10,torque_squared,N^2 m^2,N^2 m^2 s,273.6566786816705,158.24855693791588,2462.910108134982,1424.2370124412125,273.6566786816705,158.24855693791588,488.893844853938,282.7146255544577,771.6084704083958,488.893844853938,63.36035225159945,26.720704503198892,26.720704503198892,front,1.7292838808573248,1.267207045031989,21.84396318998334,30.988475426755816,25.78972774504616,-13.98389755607955,-13.648508030959384,8.415892213539511
go2,"0.20/0.10, w=10",0.2,0.1,10,normalized_torque_utilization,1,s,0.3175801097865877,0.14983409066742367,2.858220988079228,1.3485068160067843,0.3175801097865877,0.14983409066742367,0.5673640477940218,0.26768199128003517,0.8350460390740572,0.5673640477940218,67.94404395033656,35.88808790067311,35.88808790067311,front,2.1195450806418825,1.358880879006731,31.778229023898735,39.429561000166984,28.813574601266062,-13.986315991629883,-13.650935896348171,9.585454572623053
go2,"0.20/0.10, w=10",0.2,0.1,10,absolute_work,W,J,59.22180913947407,49.80489565187858,532.9962822552553,448.2440608668977,59.221809139474075,49.80489565187859,105.80110125170079,88.97757235488591,194.7786736065867,105.80110125170079,54.31862703069716,8.637254061394307,8.637254061394307,front,1.1890760609843842,1.086372540613943,7.469171579325985,9.744693599445412,4.799824539374965,1.2133359171933034,1.607981706814221,6.304751322912128
