run,label,cell_id,gait_index,gait_name,family,direction,velocity_mps,metric,metric_label,unit,front,hind,signed_imbalance_percent,absolute_imbalance_percent,total_per_directed_m,planar_tracking_success,yaw_tracking_success,tracking_success
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_1p0__seed_0042,1,bound,bound,forward,1.0,absolute_work,Absolute work,J,989.4964991533523,1290.5618035857603,-13.204280963812547,13.204280963812547,232.55404478991986,True,True,True
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_1p0__seed_0042,1,bound,bound,forward,1.0,vertical_grf_impulse,Vertical GRF impulse,N s,688.2482889962197,785.5079660391808,-6.599441170183525,6.599441170183525,150.31544488629794,True,True,True
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_1p5__seed_0042,1,bound,bound,forward,1.5,torque_squared,Torque²,N² m² s,2044.9114915900916,2844.140379794404,-16.347318646426725,16.347318646426725,340.1391082185009,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_1p5__seed_0042,1,bound,bound,forward,1.5,absolute_work,Absolute work,J,881.1765438793309,1272.6978403123755,-18.177536225260067,18.177536225260067,149.84846377712398,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_1p5__seed_0042,1,bound,bound,forward,1.5,vertical_grf_impulse,Vertical GRF impulse,N s,679.2463120388985,753.6042760396003,-5.18951275306509,5.18951275306509,99.68569245336329,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_1p5__seed_0042,2,half_bound_front_a,half_bound,backward,-1.5,torque_squared,Torque²,N² m² s,3742.0518839140523,2857.093402921398,13.410198480673646,13.410198480673646,469.63483782070443,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_1p5__seed_0042,2,half_bound_front_a,half_bound,backward,-1.5,absolute_work,Absolute work,J,1195.2385663642688,3026.792494216134,-43.38087289201709,43.38087289201709,300.4651036195766,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_1p5__seed_0042,2,half_bound_front_a,half_bound,backward,-1.5,vertical_grf_impulse,Vertical GRF impulse,N s,1024.166541903668,399.81835907161235,43.84514066156479,43.84514066156479,101.33932334581938,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_1p0__seed_0042,2,half_bound_front_a,half_bound,backward,-1.0,torque_squared,Torque²,N² m² s,3476.124463802133,2281.153480204628,20.755832794931358,20.755832794931358,607.3916011568854,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_1p0__seed_0042,2,half_bound_front_a,half_bound,backward,-1.0,absolute_work,Absolute work,J,918.3100676849197,2175.848419080002,-40.642338030651224,40.642338030651224,326.4330636435058,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_1p0__seed_0042,2,half_bound_front_a,half_bound,backward,-1.0,vertical_grf_impulse,Vertical GRF impulse,N s,980.3373160900582,425.0251902966467,39.51379969721561,39.51379969721561,148.26544614693555,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_0p5__seed_0042,2,half_bound_front_a,half_bound,backward,-0.5,torque_squared,Torque²,N² m² s,3306.497275804549,1699.7222627023905,32.095576327468955,32.095576327468955,1126.5672274734006,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_0p5__seed_0042,2,half_bound_front_a,half_bound,backward,-0.5,absolute_work,Absolute work,J,849.7231673802738,1077.748067583117,-11.830262162494694,11.830262162494694,433.74564549261606,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_neg_0p5__seed_0042,2,half_bound_front_a,half_bound,backward,-0.5,vertical_grf_impulse,Vertical GRF impulse,N s,955.0535232782416,439.6643359396134,36.95293524294969,36.95293524294969,313.8582756271422,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_0p5__seed_0042,2,half_bound_front_a,half_bound,forward,0.5,torque_squared,Torque²,N² m² s,1890.1564096532686,3444.849883395585,-29.14136157192495,29.14136157192495,1113.5270133799065,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_0p5__seed_0042,2,half_bound_front_a,half_bound,forward,0.5,absolute_work,Absolute work,J,837.7210250726561,1419.0020186080924,-25.757746178164535,25.757746178164535,471.0251371454989,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_0p5__seed_0042,2,half_bound_front_a,half_bound,forward,0.5,vertical_grf_impulse,Vertical GRF impulse,N s,677.2979929202795,755.6577433942258,-5.468399929469132,5.468399929469132,299.08772993255855,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_1p0__seed_0042,2,half_bound_front_a,half_bound,forward,1.0,torque_squared,Torque²,N² m² s,1924.80878525558,3316.2121914854415,-26.548327366074876,26.548327366074876,532.3758164349887,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_1p0__seed_0042,2,half_bound_front_a,half_bound,forward,1.0,absolute_work,Absolute work,J,768.9794265605061,1440.4629506306385,-30.391538199959157,30.391538199959157,224.43216591638554,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_1p0__seed_0042,2,half_bound_front_a,half_bound,forward,1.0,vertical_grf_impulse,Vertical GRF impulse,N s,718.1684309005738,763.2560112285614,-3.0435288527565287,3.0435288527565287,150.48108953680637,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_1p5__seed_0042,2,half_bound_front_a,half_bound,forward,1.5,torque_squared,Torque²,N² m² s,1936.5489350764158,2688.4023174993567,-16.256460692514572,16.256460692514572,316.34418898781206,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_1p5__seed_0042,2,half_bound_front_a,half_bound,forward,1.5,absolute_work,Absolute work,J,846.1676953939552,1349.8501123523392,-22.936171791580225,22.936171791580225,150.2064420695022,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_02_half_bound__vx_pos_1p5__seed_0042,2,half_bound_front_a,half_bound,forward,1.5,vertical_grf_impulse,Vertical GRF impulse,N s,685.9671704477136,847.0958220243455,-10.51024337341889,10.51024337341889,104.86068772091478,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_1p5__seed_0042,3,half_bound_front_b,half_bound,backward,-1.5,torque_squared,Torque²,N² m² s,3762.320317324974,2350.2418346258933,23.10125357577601,23.10125357577601,441.54499899294404,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_1p5__seed_0042,3,half_bound_front_b,half_bound,backward,-1.5,absolute_work,Absolute work,J,1107.3930209950065,2184.911690842579,-32.72840044159096,32.72840044159096,237.82182406257132,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_1p5__seed_0042,3,half_bound_front_b,half_bound,backward,-1.5,vertical_grf_impulse,Vertical GRF impulse,N s,980.3189235893899,406.8214760366283,41.34386452210461,41.34386452210461,100.20101082497187,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_1p0__seed_0042,3,half_bound_front_b,half_bound,backward,-1.0,torque_squared,Torque²,N² m² s,3580.856080268376,2013.381031173427,28.019460345880187,28.019460345880187,604.19428800574,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_1p0__seed_0042,3,half_bound_front_b,half_bound,backward,-1.0,absolute_work,Absolute work,J,871.6825935497249,1659.6540934906866,-31.12867221397729,31.12867221397729,273.3919097210044,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_1p0__seed_0042,3,half_bound_front_b,half_bound,backward,-1.0,vertical_grf_impulse,Vertical GRF impulse,N s,955.2994128647204,449.01010624265547,36.052543953691824,36.052543953691824,151.6696152012202,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_0p5__seed_0042,3,half_bound_front_b,half_bound,backward,-0.5,torque_squared,Torque²,N² m² s,2889.169775813854,1649.0163281236246,27.32707340085132,27.32707340085132,994.8263643509741,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_0p5__seed_0042,3,half_bound_front_b,half_bound,backward,-0.5,absolute_work,Absolute work,J,557.2338930831295,815.2078378058814,-18.796713836123814,18.796713836123814,300.85615401255984,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_neg_0p5__seed_0042,3,half_bound_front_b,half_bound,backward,-0.5,vertical_grf_impulse,Vertical GRF impulse,N s,908.1568420267221,469.3019223012164,31.859750076774368,31.859750076774368,301.9559496184618,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_0p5__seed_0042,3,half_bound_front_b,half_bound,forward,0.5,torque_squared,Torque²,N² m² s,1840.6240029499284,2429.5804695313213,-13.792231036636363,13.792231036636363,855.8773263777896,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_0p5__seed_0042,3,half_bound_front_b,half_bound,forward,0.5,absolute_work,Absolute work,J,391.03907044918947,856.1047581897859,-37.290461377508386,37.290461377508386,249.9651088239015,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_0p5__seed_0042,3,half_bound_front_b,half_bound,forward,0.5,vertical_grf_impulse,Vertical GRF impulse,N s,745.3196518492699,692.0954375600815,3.7027727537672392,3.7027727537672392,288.101188490376,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_1p0__seed_0042,3,half_bound_front_b,half_bound,forward,1.0,torque_squared,Torque²,N² m² s,2035.4364120613022,2754.5123181980057,-15.012183775457146,15.012183775457146,482.3035529670252,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_1p0__seed_0042,3,half_bound_front_b,half_bound,forward,1.0,absolute_work,Absolute work,J,616.9693520535953,1199.1522739648974,-32.05638397620039,32.05638397620039,182.86665728080794,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_1p0__seed_0042,3,half_bound_front_b,half_bound,forward,1.0,vertical_grf_impulse,Vertical GRF impulse,N s,718.1996352815628,784.710142827034,-4.4254491197185715,4.4254491197185715,151.32911991135632,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_1p5__seed_0042,3,half_bound_front_b,half_bound,forward,1.5,torque_squared,Torque²,N² m² s,1812.8289875508808,2692.0903087967517,-19.517804058304282,19.517804058304282,310.36925684427104,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_1p5__seed_0042,3,half_bound_front_b,half_bound,forward,1.5,absolute_work,Absolute work,J,756.3051823293246,1369.5751801505323,-28.847813293962755,28.847813293962755,146.46386868187463,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_03_half_bound__vx_pos_1p5__seed_0042,3,half_bound_front_b,half_bound,forward,1.5,vertical_grf_impulse,Vertical GRF impulse,N s,675.8233415412989,833.958467783928,-10.47403838527536,10.47403838527536,104.0173701973261,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_04_half_bound__vx_neg_1p5__seed_0042,4,half_bound_hind_a,half_bound,backward,-1.5,torque_squared,Torque²,N² m² s,3711.1114053296515,2364.3490543924495,22.167247402327835,22.167247402327835,433.50280090807894,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_04_half_bound__vx_neg_1p5__seed_0042,4,half_bound_hind_a,half_bound,backward,-1.5,absolute_work,Absolute work,J,1134.1997775257603,2467.153834026803,-37.01258471884407,37.01258471884407,256.96766327730705,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_04_half_bound__vx_neg_1p5__seed_0042,4,half_bound_hind_a,half_bound,backward,-1.5,vertical_grf_impulse,Vertical GRF impulse,N s,974.5782000764763,426.7646762997874,39.09204042862667,39.09204042862667,99.99012683385668,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_04_half_bound__vx_neg_1p0__seed_0042,4,half_bound_hind_a,half_bound,backward,-1.0,torque_squared,Torque²,N² m² s,3429.7032988644537,1775.7273373497246,31.77404670437868,31.77404670437868,545.9527309640013,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_04_half_bound__vx_neg_1p0__seed_0042,4,half_bound_hind_a,half_bound,backward,-1.0,absolute_work,Absolute work,J,976.5888027545797,1445.2218546169065,-19.35052397411439,19.35052397411439,254.00283562923352,True,False,False
