run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,gallop,torque_squared,Torque²,N² m² s,4,-14.763679158389493,14.763679158389493,474.4222517316509
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,all_family_balanced,torque_squared,Torque²,N² m² s,10,-16.426395435495436,16.643660774161297,458.1108471377197
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,trot,absolute_work,Absolute work,J,1,-3.7715014479224505,3.7715014479224505,72.69448609394169
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,bound,absolute_work,Absolute work,J,1,-13.204280963812547,13.204280963812547,232.55404478991986
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,half_bound,absolute_work,Absolute work,J,4,-19.50125133184303,19.50125133184303,205.16483839848007
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,gallop,absolute_work,Absolute work,J,4,-21.644140304437556,21.644140304437556,171.1664364303156
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,all_family_balanced,absolute_work,Absolute work,J,10,-14.530293512003896,14.530293512003896,170.3949514281643
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,1.627972744241047,1.627972744241047,159.24555398761441
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,-6.599441170183525,6.599441170183525,150.31544488629794
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,-4.034369833802991,4.034369833802991,152.44528336607658
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,-1.3503913063471205,2.1977239484457938,150.8981228512758
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,-2.589057391523147,3.614876924168339,153.22610127281618
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,trot,torque_squared,Torque²,N² m² s,1,-15.322255532172493,15.322255532172493,240.67142248888314
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,bound,torque_squared,Torque²,N² m² s,1,-16.347318646426725,16.347318646426725,340.1391082185009
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,half_bound,torque_squared,Torque²,N² m² s,4,-15.927067310155923,15.927067310155923,325.2261793786267
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,gallop,torque_squared,Torque²,N² m² s,4,-18.121469402175,18.121469402175,308.33700747184287
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,all_family_balanced,torque_squared,Torque²,N² m² s,10,-16.429527722732534,16.429527722732534,303.5934293894634
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,trot,absolute_work,Absolute work,J,1,-0.5592968360947008,0.5592968360947008,88.77475304967734
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,bound,absolute_work,Absolute work,J,1,-18.177536225260067,18.177536225260067,149.84846377712398
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,half_bound,absolute_work,Absolute work,J,4,-20.042316658168666,20.042316658168666,144.49290395234186
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,gallop,absolute_work,Absolute work,J,4,-18.52567570468113,18.52567570468113,132.8195081540161
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,all_family_balanced,absolute_work,Absolute work,J,10,-14.326206356051141,14.326206356051141,128.9839072332898
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,-4.360962042417006,4.360962042417006,107.42434380900748
