cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,relative_output_dir
gait_05_half_bound__vx_pos_1p5__seed_0042,5,half_bound,1.5,42,valid,,True,0.1015383356224398,0.08327947321299539,0.425,0.05,True,False,False,cells/gait_05_half_bound/vx_pos_1p5/seed_0042
gait_06_gallop__vx_neg_1p5__seed_0042,6,gallop,-1.5,42,valid,,True,0.053707415107884515,0.08851314922815584,0.425,0.05,True,False,False,cells/gait_06_gallop/vx_neg_1p5/seed_0042
gait_06_gallop__vx_neg_1p0__seed_0042,6,gallop,-1.0,42,valid,,True,0.04394074908080566,0.08454460513488865,0.3,0.05,True,False,False,cells/gait_06_gallop/vx_neg_1p0/seed_0042
gait_06_gallop__vx_neg_0p5__seed_0042,6,gallop,-0.5,42,valid,,True,0.04854633512144815,0.10253124963102643,0.175,0.05,True,False,False,cells/gait_06_gallop/vx_neg_0p5/seed_0042
gait_06_gallop__vx_pos_0p5__seed_0042,6,gallop,0.5,42,valid,,True,0.06106709505738053,0.08150532809957642,0.175,0.05,True,False,False,cells/gait_06_gallop/vx_pos_0p5/seed_0042
gait_06_gallop__vx_pos_1p0__seed_0042,6,gallop,1.0,42,valid,,True,0.04070486400479059,0.07973546561743725,0.3,0.05,True,False,False,cells/gait_06_gallop/vx_pos_1p0/seed_0042
gait_06_gallop__vx_pos_1p5__seed_0042,6,gallop,1.5,42,valid,,True,0.03775338945477813,0.09269590156793886,0.425,0.05,True,False,False,cells/gait_06_gallop/vx_pos_1p5/seed_0042
gait_07_gallop__vx_neg_1p5__seed_0042,7,gallop,-1.5,42,valid,,True,0.05283102283097889,0.14361514140607856,0.425,0.05,True,False,False,cells/gait_07_gallop/vx_neg_1p5/seed_0042
gait_07_gallop__vx_neg_1p0__seed_0042,7,gallop,-1.0,42,valid,,True,0.05339049713081027,0.13450214537087482,0.3,0.05,True,False,False,cells/gait_07_gallop/vx_neg_1p0/seed_0042
gait_07_gallop__vx_neg_0p5__seed_0042,7,gallop,-0.5,42,valid,,True,0.04677843770295563,0.10480772657364484,0.175,0.05,True,False,False,cells/gait_07_gallop/vx_neg_0p5/seed_0042
gait_07_gallop__vx_pos_0p5__seed_0042,7,gallop,0.5,42,valid,,True,0.060035730706506835,0.08720692191958022,0.175,0.05,True,False,False,cells/gait_07_gallop/vx_pos_0p5/seed_0042
gait_07_gallop__vx_pos_1p0__seed_0042,7,gallop,1.0,42,valid,,True,0.07056361739193928,0.06998178545198801,0.3,0.05,True,False,False,cells/gait_07_gallop/vx_pos_1p0/seed_0042
gait_07_gallop__vx_pos_1p5__seed_0042,7,gallop,1.5,42,valid,,True,0.04899730507247175,0.07472377209913618,0.425,0.05,True,False,False,cells/gait_07_gallop/vx_pos_1p5/seed_0042
gait_08_gallop__vx_neg_1p5__seed_0042,8,gallop,-1.5,42,valid,,True,0.04043627382320732,0.07036507723799793,0.425,0.05,True,False,False,cells/gait_08_gallop/vx_neg_1p5/seed_0042
gait_08_gallop__vx_neg_1p0__seed_0042,8,gallop,-1.0,42,valid,,True,0.046419786389109575,0.08340899019377875,0.3,0.05,True,False,False,cells/gait_08_gallop/vx_neg_1p0/seed_0042
gait_08_gallop__vx_neg_0p5__seed_0042,8,gallop,-0.5,42,valid,,True,0.05571439974260779,0.0967467925514422,0.175,0.05,True,False,False,cells/gait_08_gallop/vx_neg_0p5/seed_0042
gait_08_gallop__vx_pos_0p5__seed_0042,8,gallop,0.5,42,valid,,True,0.06357218492802685,0.0785028531897228,0.175,0.05,True,False,False,cells/gait_08_gallop/vx_pos_0p5/seed_0042
gait_08_gallop__vx_pos_1p0__seed_0042,8,gallop,1.0,42,valid,,True,0.07553095428473763,0.08195589277401025,0.3,0.05,True,False,False,cells/gait_08_gallop/vx_pos_1p0/seed_0042
gait_08_gallop__vx_pos_1p5__seed_0042,8,gallop,1.5,42,valid,,True,0.10331485448762762,0.07542237206991213,0.425,0.05,True,False,False,cells/gait_08_gallop/vx_pos_1p5/seed_0042
gait_09_gallop__vx_neg_1p5__seed_0042,9,gallop,-1.5,42,valid,,True,0.04839342433718125,0.12134780909087521,0.425,0.05,True,False,False,cells/gait_09_gallop/vx_neg_1p5/seed_0042
gait_09_gallop__vx_neg_1p0__seed_0042,9,gallop,-1.0,42,valid,,True,0.04512547948791699,0.11163847986398774,0.3,0.05,True,False,False,cells/gait_09_gallop/vx_neg_1p0/seed_0042
gait_09_gallop__vx_neg_0p5__seed_0042,9,gallop,-0.5,42,valid,,True,0.06723886176499548,0.1883894188818886,0.175,0.05,True,False,False,cells/gait_09_gallop/vx_neg_0p5/seed_0042
gait_09_gallop__vx_pos_0p5__seed_0042,9,gallop,0.5,42,valid,,True,0.06174018043777464,0.0938472828737892,0.175,0.05,True,False,False,cells/gait_09_gallop/vx_pos_0p5/seed_0042
gait_09_gallop__vx_pos_1p0__seed_0042,9,gallop,1.0,42,valid,,True,0.08456966128183467,0.11492605095412597,0.3,0.05,True,False,False,cells/gait_09_gallop/vx_pos_1p0/seed_0042
gait_09_gallop__vx_pos_1p5__seed_0042,9,gallop,1.5,42,valid,,True,0.06379783100824796,0.09011718491860587,0.425,0.05,True,False,False,cells/gait_09_gallop/vx_pos_1p5/seed_0042
