run,label,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,26.540623559270774,26.540623559270774,189.0189107940861
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,30.619053488740605,30.619053488740605,189.4894058961895
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,31.923850886241325,31.923850886241325,188.7119416537477
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,32.2493281063802,32.2493281063802,185.4732710851197
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,30.333214010158226,30.333214010158226,188.17338235728576
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",forward,trot,torque_squared,Torque²,N² m² s,3,-3.6768133771891933,4.976028565063746,335.71717973075613
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",forward,bound,torque_squared,Torque²,N² m² s,3,-15.614091004400025,15.614091004400025,664.2258271105818
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",forward,half_bound,torque_squared,Torque²,N² m² s,12,-8.312826847992168,9.887604710494035,593.0079978494105
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",forward,gallop,torque_squared,Torque²,N² m² s,12,-3.1924753589840917,8.77094174587808,528.0128752396669
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",forward,all_family_balanced,torque_squared,Torque²,N² m² s,30,-7.69905164714137,9.812166506458972,530.2409699826038
