window,command_x_mps,run,label,metric,unit,front,hind,front_per_directed_m,hind_per_directed_m,front_share_percent,signed_imbalance_percent,absolute_imbalance_percent,bootstrap_95_low_percent,bootstrap_95_high_percent
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,fatigue_proxy_m3,1,3.9591790750561913,0.9438069159953562,0.8031140317979949,0.19144993524525136,80.75036482425402,61.500729648508035,61.500729648508035,,
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,fatigue_proxy_m5,1,0.8118275564201789,0.05029333630483707,0.16467810361724308,0.010201934119834404,94.16632438336246,88.33264876672492,88.33264876672492,,
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,torque_squared,N^2 m^2 s,991.1623725812264,931.1647438680425,197.62140500675,185.6588688861599,51.56054680287727,3.121093605754543,3.121093605754543,1.3595798490929965,5.2023649355600705
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,normalized_torque_utilization,s,1.4077644167425054,1.0786503023246419,0.2806849711522547,0.2150650530661488,56.61824658400792,13.236493168015853,13.236493168015853,11.688287109063303,14.884767170435687
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,absolute_work,J,316.64479856133164,320.05033740074157,63.13374247330153,63.812750664962984,49.73256126464167,-0.5348774707166587,0.5348774707166587,-2.0503261318724175,0.9059002980811228
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,positive_work,J,153.99427417469872,174.34954418050685,30.70391458277909,34.76241919223439,46.90031167515577,-6.199376649688467,6.199376649688467,-12.980203888222205,0.2769098861006794
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,negative_work,J,162.65052438663292,145.70079322023471,32.429827890522446,29.05033147272859,52.74844474444703,5.496889488894045,5.496889488894045,0.008170492824231991,11.014775074804813
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,vertical_grf_impulse,N s,844.4824422909102,837.341199171571,168.37584977569836,166.9520038572306,50.212306538666844,0.42461307733367953,0.42461307733367953,-1.3562704514002906,2.207828031980438
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,contact_time,leg s,10.579999999999774,9.739999999999792,,,52.06692913385827,4.133858267716535,4.133858267716535,1.1811023622047243,7.192118226600985
backward,-0.5665580034255981,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,fatigue_proxy_m3,1,2.1716396558895905,0.8729015811610041,0.43298907609621334,0.1740421566371704,71.32896179765234,42.657923595304666,42.657923595304666,,
