run,label,transitions_million,elapsed_hours,reward_rolling_mean_200
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,47.9232,2.0065452103482353,23.00407258987427
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,48.16896,2.016773494217131,23.276552753448485
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,48.41472,2.027575160596106,23.291724281311033
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,48.66048,2.037817370692889,23.303512191772462
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,48.90624,2.0481048783328797,23.323579511642457
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,49.152,2.058260682026545,23.57029100418091
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,49.39776,2.0685795654853183,23.72252372741699
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,49.64352,2.078679718905025,23.666667671203612
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,49.88928,2.088803348077668,23.75814863204956
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,50.13504,2.0988619822263717,23.836678915023803
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,50.3808,2.108796040945583,23.855841321945192
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,50.62656,2.1188469831148784,23.922991886138917
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,50.87232,2.129053779111968,24.051672058105467
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,51.11808,2.1395321001609164,23.993185844421387
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,51.36384,2.1496496497922473,23.809105024337768
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,51.6096,2.159850151737531,23.613766613006593
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,51.85536,2.1699669116073186,23.61407356262207
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,52.10112,2.1804352363612916,23.64520959854126
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,52.34688,2.190575865705808,23.806211004257204
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,52.59264,2.20076661699348,24.04170862197876
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,52.8384,2.210853033926752,24.024654626846313
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,53.08416,2.220910734468036,24.025144472122193
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,53.32992,2.2310173104206723,24.040247659683228
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,53.57568,2.2412186561028165,24.290085496902467
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,53.82144,2.2511938221587076,24.562931652069093
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,54.0672,2.261323937707477,24.76282105445862
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,54.31296,2.2714024280177223,25.081304664611817
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,54.55872,2.2814008400175307,25.244713220596314
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,54.80448,2.291510170565711,25.28961024284363
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,55.05024,2.3017081833548017,25.203171710968018
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,55.296,2.311796667377154,25.26430426597595
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,55.54176,2.321822345919079,25.265083980560302
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,55.78752,2.331877018743091,25.2664702129364
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,56.03328,2.341968719959259,25.225660457611085
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,56.27904,2.3520914750629003,25.164422340393067
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,56.5248,2.362123507195049,25.22149839401245
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,56.77056,2.3721644622749753,25.14391037940979
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,57.01632,2.3820587306552463,25.01428300857544
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,57.26208,2.3919680511951444,25.00409317970276
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,57.50784,2.4019829274548425,25.101865129470823
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,57.7536,2.412091228365898,25.1875106048584
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,57.99936,2.422076497740216,25.158778266906737
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,58.24512,2.4321801039245394,25.256575632095338
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,58.49088,2.4421636873483656,25.397033243179322
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,58.73664,2.4525054919719698,25.529697723388672
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,58.9824,2.462704819109705,25.456411476135255
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,59.22816,2.4727788964907327,25.32866735458374
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,59.47392,2.4827857086393568,25.41737769126892
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,59.71968,2.4930850837628045,25.403032474517822
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,59.96544,2.5030496278074055,25.545629997253418
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,60.2112,2.5130136846171487,25.578113107681276
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,60.45696,2.52299492292934,25.72785044670105
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,60.70272,2.5329542564021215,25.65783518791199
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,60.94848,2.543053844306204,25.550160465240477
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,61.19424,2.553147997326321,25.679470233917236
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,61.44,2.5631758038865193,25.919218463897707
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,61.68576,2.5734145639340085,26.055021867752075
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,61.93152,2.5835939025878907,26.240215730667114
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,62.17728,2.593832725220256,26.135882005691528
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,62.42304,2.6039546136723626,25.942730741500853
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,62.6688,2.614028430117501,25.90230052947998
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,62.91456,2.6241574109925163,26.009819765090942
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,63.16032,2.6344368126657276,26.168998403549196
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,63.40608,2.6444401966200934,26.253544950485228
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,63.65184,2.6543494297398462,26.27590087890625
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,63.8976,2.6642839405934016,26.19078137397766
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,64.14336,2.674345247745514,26.2307288646698
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,64.38912,2.6843902309735617,25.90508327484131
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,64.63488,2.694418862263362,25.94720239639282
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,64.88064,2.7044764631324343,25.944432315826415
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,65.1264,2.7145418909523222,26.084264974594117
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,65.37216,2.7245054730441836,25.999375963211058
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,65.61792,2.7347274121310976,26.09357581138611
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,65.86368,2.7447817518313724,26.24287000656128
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,66.10944,2.7546764196952185,26.402735929489136
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,66.3552,2.764524529245165,26.585940799713136
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,66.60096,2.774515307876799,26.926051120758057
