run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,2.1063038377453407,3.6761718531412106,357.97047562354226
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,trot,torque_squared,Torque²,N² m² s,1,0.5726478820308439,0.5726478820308439,368.4816338337301
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,bound,torque_squared,Torque²,N² m² s,1,38.473622788447294,38.473622788447294,809.8179218144031
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,half_bound,torque_squared,Torque²,N² m² s,4,16.2916159933207,17.90515677700292,551.0204824597096
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,gallop,torque_squared,Torque²,N² m² s,4,-2.1447972155669226,10.89310376121323,467.9677464137013
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,all_family_balanced,torque_squared,Torque²,N² m² s,10,13.298272362057979,16.961132802173573,549.321946130386
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,trot,absolute_work,Absolute work,J,1,-3.005136528149323,3.005136528149323,64.42251853121401
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,bound,absolute_work,Absolute work,J,1,70.22035218212179,70.22035218212179,682.6742985159595
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,half_bound,absolute_work,Absolute work,J,4,40.0906917297609,40.0906917297609,345.7185375134709
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,gallop,absolute_work,Absolute work,J,4,13.31107699826697,14.30391829413502,210.25150425874182
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,all_family_balanced,absolute_work,Absolute work,J,10,30.15424609550008,31.905024683541757,325.76671470484655
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,-3.1827060124256583,3.1827060124256583,357.14478300915755
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,-2.1676742955892805,2.1676742955892805,345.3227127548625
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,-2.157208071915913,2.452402923058686,350.4975363185923
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,-2.874529365075625,2.874529365075625,360.0495680262876
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,-2.5955294362516192,2.6693281490373124,353.253650027225
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,trot,torque_squared,Torque²,N² m² s,1,2.100265849821773,2.100265849821773,240.39736178350748
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,bound,torque_squared,Torque²,N² m² s,1,19.9466501808757,19.9466501808757,463.12699914980425
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,half_bound,torque_squared,Torque²,N² m² s,4,3.0164328494676163,9.370122480520047,368.96881143048506
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,gallop,torque_squared,Torque²,N² m² s,4,-6.875355414144971,10.903003292048592,301.7153264270723
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,all_family_balanced,torque_squared,Torque²,N² m² s,10,4.546998366505029,10.580010450816529,343.55212469771726
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,trot,absolute_work,Absolute work,J,1,-6.311310071354456,6.311310071354456,71.31698474258141
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,bound,absolute_work,Absolute work,J,1,55.44067213570089,55.44067213570089,342.7379970070798
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,half_bound,absolute_work,Absolute work,J,4,28.831009893055988,28.831009893055988,219.34520454978195
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,gallop,absolute_work,Absolute work,J,4,4.088733512585531,9.785662884915284,140.79499260626116
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,all_family_balanced,absolute_work,Absolute work,J,10,20.512276367496987,25.092163746256656,193.54879472642608
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,-4.501026034938327,4.501026034938327,178.87714725132403
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,-8.422120785781521,8.422120785781521,172.0406097282065
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,-7.581517486805536,7.581517486805536,173.91951096757714
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,-5.655802566306102,5.655802566306102,174.79774366304852
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,-6.540116718457872,6.540116718457872,174.90875290253905
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,trot,torque_squared,Torque²,N² m² s,1,2.339228550788061,2.339228550788061,206.95816175424403
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,bound,torque_squared,Torque²,N² m² s,1,10.616880656359815,10.616880656359815,367.7711110352905
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,half_bound,torque_squared,Torque²,N² m² s,4,-2.670466128507793,6.780459210472741,309.2004976598212
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,gallop,torque_squared,Torque²,N² m² s,4,-7.428826202631479,8.362871811567432,270.2363110019513
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,all_family_balanced,torque_squared,Torque²,N² m² s,10,0.7142042190021509,7.024860057297012,288.54152036282676
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,trot,absolute_work,Absolute work,J,1,-10.393351399289157,10.393351399289157,74.76698107308636
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,bound,absolute_work,Absolute work,J,1,43.84835264437093,43.84835264437093,246.23423619026906
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,half_bound,absolute_work,Absolute work,J,4,18.928219214897847,19.32023725479017,171.34268545041257
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,gallop,absolute_work,Absolute work,J,4,-0.7827843586971459,10.372234709663955,126.77705809318944
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,all_family_balanced,absolute_work,Absolute work,J,10,12.900109025320617,20.98354400202855,154.78024020173936
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,1.5,forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,-8.160515892419268,8.160515892419268,119.132427049997
